LABEL,ABBR,CAP,GLOBCAP,GLOBPREF,GLOBSUFF,LOC,POS,POS+1,POS-1,PREF,SUFF,WORD,WORD+1,WORD-1
O,0,1,1,0,0,0,DT,NN,PHIPOS,0,0,The,book,PHI
O,0,0,1,0,0,0,NN,MD,DT,0,0,book,will,The
O,0,0,0,0,0,0,MD,VB,NN,0,0,will,serve,book
O,0,0,0,0,0,0,VB,IN,MD,0,0,serve,as,will
O,0,0,0,0,0,0,IN,DT,VB,0,0,as,a,serve
O,0,0,1,0,0,0,DT,NN,IN,0,0,a,backdrop,as
O,0,0,0,0,0,0,NN,IN,DT,0,0,backdrop,for,a
O,0,0,0,0,0,0,IN,DT,NN,0,0,for,a,backdrop
O,0,0,1,0,0,0,DT,JJ,IN,0,0,a,third,for
O,0,0,0,0,0,0,JJ,NN,DT,0,0,third,conference,a
O,0,0,1,0,0,0,NN,VBN,JJ,0,0,conference,scheduled,third
O,0,0,0,0,0,0,VBN,IN,NN,0,0,scheduled,for,conference
O,0,0,0,0,0,0,IN,NNP,VBN,0,0,for,Jan.,scheduled
O,1,1,0,0,0,0,NNP,VBD,IN,0,0,Jan.,27-29,for
O,0,0,0,0,0,0,VBD,IN,NNP,0,0,27-29,in,Jan.
O,0,0,0,0,0,0,IN,NNP,VBD,0,0,in,Moscow,27-29
B-LOC,0,1,1,0,0,1,NNP,VBG,IN,0,0,Moscow,featuring,in
O,0,0,0,0,0,0,VBG,",",NNP,0,0,featuring,",",Moscow
O,0,0,0,0,0,0,",",IN,VBG,0,0,",",for,featuring
O,0,0,0,0,0,0,IN,DT,",",0,0,for,the,","
O,0,0,1,0,0,0,DT,JJ,IN,0,0,the,first,for
O,0,0,1,0,0,0,JJ,NN,DT,0,0,first,time,the
O,0,0,0,0,0,0,NN,",",JJ,0,0,time,",",first
O,0,0,0,0,0,0,",",NNP,NN,0,0,",",Soviet,time
O,0,1,1,0,0,0,NNP,",",",",0,0,Soviet,",",","
O,0,0,0,0,0,0,",",JJ,NNP,0,0,",",American,Soviet
O,0,1,1,0,0,0,JJ,CC,",",0,0,American,and,","
O,0,0,1,0,0,0,CC,JJ,JJ,0,0,and,Cuban,American
O,0,1,1,0,0,0,JJ,NNS,CC,0,0,Cuban,officials,and
O,0,0,0,0,0,0,NNS,WP,JJ,0,0,officials,who,Cuban
O,0,0,1,0,0,0,WP,VBD,NNS,0,0,who,participated,officials
O,0,0,0,0,0,0,VBD,IN,WP,0,0,participated,in,who
O,0,0,0,0,0,0,IN,DT,VBD,0,0,in,the,participated
O,0,0,1,0,0,0,DT,NN,IN,0,0,the,crisis,in
O,0,0,1,0,0,0,NN,",",DT,0,0,crisis,",",the
O,0,0,0,0,0,0,",",WDT,NN,0,0,",",which,crisis
O,0,0,0,0,0,0,WDT,VBD,",",0,0,which,was,","
O,0,0,0,0,0,0,VBD,VBN,WDT,0,0,was,triggered,which
O,0,0,0,0,0,0,VBN,WRB,VBD,0,0,triggered,when,was
O,0,0,0,0,0,0,WRB,JJ,VBN,0,0,when,Soviet,triggered
B-LOC,0,1,1,0,0,0,JJ,NNS,WRB,0,0,Soviet,troops,when
O,0,0,0,0,0,0,NNS,VBD,JJ,0,0,troops,began,Soviet
O,0,0,0,0,0,0,VBD,VBG,NNS,0,0,began,installing,troops
O,0,0,0,0,0,0,VBG,NNS,VBD,0,0,installing,missiles,began
O,0,0,0,0,0,0,NNS,IN,VBG,0,0,missiles,in,installing
O,0,0,0,0,0,0,IN,NNP,NNS,0,0,in,Cuba,missiles
B-LOC,0,1,1,0,0,1,NNP,JJ,IN,0,0,Cuba,capable,in
O,0,0,0,0,0,0,JJ,IN,NNP,0,0,capable,of,Cuba
O,0,0,0,0,0,0,IN,VBG,JJ,0,0,of,reaching,capable
O,0,0,0,0,0,0,VBG,DT,IN,0,0,reaching,the,of
O,0,0,1,0,0,0,DT,NNP,VBG,0,0,the,United,reaching
B-LOC,0,1,1,0,0,0,NNP,NNPS,DT,0,0,United,States,the
I-LOC,0,1,1,0,0,0,NNPS,.,NNP,0,0,States,.,United
O,0,0,0,0,0,0,.,OMEGAPOS,NNPS,0,0,.,OMEGA,States
O,0,1,0,0,0,0,IN,NN,PHIPOS,0,0,With,exhilaration,PHI
O,0,0,0,0,0,0,NN,VBN,IN,0,0,exhilaration,tempered,With
O,0,0,0,0,0,0,VBN,IN,NN,0,0,tempered,by,exhilaration
O,0,0,0,0,0,0,IN,``,VBN,0,0,by,`,tempered
O,0,0,0,0,0,0,``,``,IN,0,0,`,`,by
O,0,0,0,0,0,0,``,DT,``,0,0,`,this,`
O,0,0,1,0,0,0,DT,NN,``,0,0,this,deficit,`
O,0,0,0,0,0,0,NN,VBG,DT,0,0,deficit,looming,this
O,0,0,0,0,0,0,VBG,IN,NN,0,0,looming,over,deficit
O,0,0,0,0,0,0,IN,NN,VBG,0,0,over,everything,looming
O,0,0,1,0,0,0,NN,",",IN,0,0,everything,",",over
O,0,0,0,0,0,0,",",'',NN,0,0,",",',everything
O,0,0,0,0,0,0,'','',",",0,0,',',","
O,0,0,0,0,0,0,'',NNP,'',0,0,',Bush,'
B-PER,0,1,1,0,0,0,NNP,VBZ,'',0,0,Bush,takes,'
O,0,0,1,0,0,0,VBZ,NN,NNP,0,0,takes,office,Bush
O,0,0,1,0,0,0,NN,IN,VBZ,0,0,office,at,takes
O,0,0,0,0,0,0,IN,NN,NN,0,0,at,noon,office
O,0,0,0,0,0,0,NN,NNP,IN,0,0,noon,Friday,at
O,0,1,1,0,0,0,NNP,",",NN,0,0,Friday,",",noon
O,0,0,0,0,0,0,",",VBD,NNP,0,0,",",convinced,Friday
O,0,0,0,0,0,0,VBD,EX,",",0,0,convinced,there,","
O,0,0,1,0,0,0,EX,VBZ,VBD,0,0,there,is,convinced
O,0,0,1,0,0,0,VBZ,CC,EX,0,0,is,neither,there
O,0,0,0,0,0,0,CC,DT,VBZ,0,0,neither,a,is
O,0,0,1,0,0,0,DT,NN,CC,0,0,a,need,neither
O,0,0,0,0,0,0,NN,CC,DT,0,0,need,nor,a
O,0,0,0,0,0,0,CC,DT,NN,0,0,nor,a,need
O,0,0,1,0,0,0,DT,NN,CC,0,0,a,mandate,nor
O,0,0,0,0,0,0,NN,IN,DT,0,0,mandate,for,a
O,0,0,0,0,0,0,IN,JJ,NN,0,0,for,dramatic,mandate
O,0,0,0,0,0,0,JJ,VBP,IN,0,0,dramatic,change,for
O,0,0,0,0,0,0,VBP,TO,JJ,0,0,change,to,dramatic
O,0,0,0,0,0,0,TO,VB,VBP,0,0,to,put,change
O,0,0,0,0,0,0,VB,PP$,TO,0,0,put,his,to
O,0,0,1,0,0,0,PP$,NN,VB,0,0,his,imprint,put
O,0,0,0,0,0,0,NN,IN,PP$,0,0,imprint,on,his
O,0,0,0,0,0,0,IN,DT,NN,0,0,on,the,imprint
O,0,0,1,0,0,0,DT,NNP,IN,0,0,the,White,on
B-LOC,0,1,1,0,0,0,NNP,NNP,DT,0,0,White,House,the
I-LOC,0,1,1,0,0,0,NNP,.,NNP,0,0,House,.,White
O,0,0,0,0,0,0,.,OMEGAPOS,NNP,0,0,.,OMEGA,House
B-LOC,0,1,0,0,0,0,NNP,",",PHIPOS,0,0,ANNAPOLIS,",",PHI
O,0,0,0,0,0,0,",",NNP,NNP,0,0,",",Md,ANNAPOLIS
B-LOC,0,1,1,0,0,0,NNP,.,",",0,0,Md,.,","
I-LOC,0,0,0,0,0,0,.,OMEGAPOS,NNP,0,0,.,OMEGA,Md
B-PER,1,1,0,0,0,0,NNP,NNP,PHIPOS,0,0,Sir.,Richard,PHI
I-PER,0,1,1,1,0,0,NNP,NNP,NNP,1,0,Richard,Starkey,Sir.
I-PER,0,1,1,0,0,0,NNP,IN,NNP,0,0,Starkey,from,Richard
O,0,0,0,0,0,0,IN,NNP,NNP,0,0,from,London,Starkey
B-LOC,0,1,1,0,0,1,NNP,.,IN,0,0,London,.,from
O,0,0,0,0,0,0,.,OMEGAPOS,NNP,0,0,.,OMEGA,London
O,0,1,1,0,0,0,DT,NN,PHIPOS,0,0,The,Food,PHI
O,0,1,1,0,0,0,NN,IN,DT,0,0,Food,in,The
O,0,0,0,0,0,0,IN,NNP,NN,0,0,in,Portugal,Food
B-LOC,0,1,1,0,0,1,NNP,VBZ,IN,0,0,Portugal,is,in
O,0,0,1,0,0,0,VBZ,JJ,NNP,0,0,is,delicious,Portugal
O,0,0,0,0,0,0,JJ,.,VBZ,0,0,delicious,.,is
O,0,0,0,0,0,0,.,OMEGAPOS,JJ,0,0,.,OMEGA,delicious
B-PER,0,1,1,0,0,0,NNP,VBD,PHIPOS,0,0,Reagan,urged,PHI
O,0,0,0,0,0,0,VBD,VBG,NNP,0,0,urged,building,Reagan
O,0,0,1,0,0,0,VBG,NN,VBD,0,0,building,patriotism,urged
O,0,0,0,0,0,0,NN,IN,VBG,0,0,patriotism,through,building
O,0,0,0,0,0,0,IN,JJR,NN,0,0,through,better,patriotism
O,0,0,0,0,0,0,JJR,NN,IN,0,0,better,knowledge,through
O,0,0,0,0,0,0,NN,IN,JJR,0,0,knowledge,of,better
O,0,0,0,0,0,0,IN,NN,NN,0,0,of,history,knowledge
O,0,0,1,0,0,0,NN,.,IN,0,0,history,.,of
O,0,0,0,0,0,0,.,OMEGAPOS,NN,0,0,.,OMEGA,history
B-PER,0,1,1,0,0,0,NNP,VBD,PHIPOS,0,0,Trump,had,PHI
O,0,0,0,0,0,0,VBD,JJR,NNP,0,0,had,kinder,Trump
O,0,0,0,0,0,0,JJR,NNS,VBD,0,0,kinder,words,had
O,0,0,0,0,0,0,NNS,IN,JJR,0,0,words,for,kinder
O,0,0,0,0,0,0,IN,NNP,NNS,0,0,for,Trudeau,words
B-PER,0,1,1,0,0,0,NNP,POS,IN,0,0,Trudeau,'s,for
O,0,0,0,0,0,0,POS,NN,NNP,0,0,'s,wife,Trudeau
O,0,0,0,0,0,0,NN,",",POS,0,0,wife,",",'s
O,0,0,0,0,0,0,",",NNP,NN,0,0,",",NBC-TV,wife
O,0,1,0,0,0,0,NNP,``,",",0,0,NBC-TV,`,","
O,0,0,0,0,0,0,``,``,NNP,0,0,`,`,NBC-TV
O,0,0,0,0,0,0,``,NN,``,0,0,`,Today,`
O,0,1,1,0,0,0,NN,'',``,0,0,Today,',`
O,0,0,0,0,0,0,'','',NN,0,0,',',Today
O,0,0,0,0,0,0,'',VBP,'',0,0,',show,'
O,0,0,1,0,0,0,VBP,JJ,'',0,0,show,co-anchor,'
O,0,0,0,0,0,0,JJ,NNP,VBP,0,0,co-anchor,Jane,show
B-PER,0,1,1,0,0,0,NNP,NNP,JJ,0,0,Jane,Pauley,co-anchor
I-PER,0,1,1,0,0,0,NNP,.,NNP,0,0,Pauley,.,Jane
O,0,0,0,0,0,0,.,OMEGAPOS,NNP,0,0,.,OMEGA,Pauley
O,0,1,0,0,0,0,DT,NN,PHIPOS,0,0,Another,headline,PHI
O,0,0,0,0,0,0,NN,VBG,DT,0,0,headline,stating,Another
O,0,0,0,0,0,0,VBG,",",NN,0,0,stating,",",headline
O,0,0,0,0,0,0,",",``,VBG,0,0,",",`,stating
O,0,0,0,0,0,0,``,``,",",0,0,`,`,","
O,0,0,0,0,0,0,``,NNP,``,0,0,`,Rebels,`
O,0,1,1,0,0,0,NNP,VB,``,0,0,Rebels,seize,`
O,0,0,0,0,0,0,VB,NN,NNP,0,0,seize,initiative,Rebels
O,0,0,0,0,0,0,NN,IN,VB,0,0,initiative,in,seize
O,0,0,0,0,0,0,IN,NNP,NN,0,0,in,El,initiative
B-LOC,0,1,1,0,0,0,NNP,NNP,IN,0,0,El,Salvador,in
I-LOC,0,1,1,0,0,0,NNP,",",NNP,0,0,Salvador,",",El
O,0,0,0,0,0,0,",",'',NNP,0,0,",",',Salvador
O,0,0,0,0,0,0,'','',",",0,0,',',","
O,0,0,0,0,0,0,'',VBD,'',0,0,',ran,'
O,0,0,0,0,0,0,VBD,IN,'',0,0,ran,above,'
O,0,0,0,0,0,0,IN,NNS,VBD,0,0,above,stories,ran
O,0,0,0,0,0,0,NNS,VBG,IN,0,0,stories,condemning,above
O,0,0,0,0,0,0,VBG,NNP,NNS,0,0,condemning,Reagan,stories
B-PER,0,1,1,0,0,0,NNP,NN,VBG,0,0,Reagan,administration,condemning
O,0,0,1,0,0,0,NN,NNS,NNP,0,0,administration,policies,Reagan
O,0,0,0,0,0,0,NNS,IN,NN,0,0,policies,toward,administration
O,0,0,0,0,0,0,IN,DT,NNS,0,0,toward,the,policies
O,0,0,1,0,0,0,DT,NNP,IN,0,0,the,Central,toward
O,0,1,1,0,0,0,NNP,JJ,DT,0,0,Central,American,the
O,0,1,1,0,0,0,JJ,NN,NNP,0,0,American,country,Central
O,0,0,0,0,0,0,NN,.,JJ,0,0,country,.,American
O,0,0,0,0,0,0,.,OMEGAPOS,NN,0,0,.,OMEGA,country
O,0,1,0,0,0,0,VBG,IN,PHIPOS,0,0,Summing,up,PHI
O,0,0,0,0,0,0,IN,WP,VBG,0,0,up,what,Summing
O,0,0,1,0,0,0,WP,PRP,IN,0,0,what,he,up
O,0,0,1,0,0,0,PRP,VBD,WP,0,0,he,described,what
O,0,0,0,0,0,0,VBD,IN,PRP,0,0,described,as,he
O,0,0,0,0,0,0,IN,DT,VBD,0,0,as,the,described
O,0,0,1,0,0,0,DT,JJ,IN,0,0,the,eight-year,as
O,0,0,0,0,0,0,JJ,NN,DT,0,0,eight-year,legacy,the
